nombre_columna,grupo,nombre_variable,descripcion_grupo,tipo_variable_original,estadistico_zonal,unidad,resolucion_fuente_m,fuente,resolucion_H3,fuente_metadatos
GFC-LOSS year 2009,GFC-LOSS,year 2009,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2010,GFC-LOSS,year 2010,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2011,GFC-LOSS,year 2011,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2012,GFC-LOSS,year 2012,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2013,GFC-LOSS,year 2013,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2014,GFC-LOSS,year 2014,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2015,GFC-LOSS,year 2015,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2016,GFC-LOSS,year 2016,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2017,GFC-LOSS,year 2017,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2018,GFC-LOSS,year 2018,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2019,GFC-LOSS,year 2019,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2020,GFC-LOSS,year 2020,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
GFC-LOSS year 2021,GFC-LOSS,year 2021,"Año de pérdida de cobertura arbórea, de la base de datos Global Forest Change",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,30.92,Global Forest Change,7,https://geofis.github.io/zonal-statistics/README.html
OSM-DIST mean,OSM-DIST,mean,"Distancia a carreteras y caminos de OpenStreetMap, generada a partir de la base de datos de OSM",numérica,media,metros,10,OpenStreetMap,7,https://geofis.github.io/zonal-statistics/README.html
GP-CONSUNadj YEAR 2020 sum,GP-CONSUNadj YEAR 2020,sum,Proyecto Datos Globales de Población. Estimaciones restringidas por asentamientos y ajustadas a proyecciones de Naciones Unidas,numérica,suma,número de personas,92.77,WorldPop,7,https://geofis.github.io/zonal-statistics/README.html
